date,price,gpu_name
2023-10-21,,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-10-22,184999.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-10-23,184999.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-10-24,214099.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-10-25,214099.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-10-26,214099.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-10-27,214099.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-10-28,214099.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-10-29,214099.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-10-30,214099.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-10-31,214099.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-11-01,219099.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-11-02,219099.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-11-03,219099.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-11-04,219099.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-11-05,219099.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-11-06,219099.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-11-07,219099.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-11-08,233099.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-11-09,233099.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-11-10,233099.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-11-11,233099.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-11-12,233099.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-11-13,233099.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-11-14,233099.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-11-15,233099.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-11-16,233099.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-11-17,233099.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-11-18,233099.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-11-19,233099.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-11-20,233099.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-11-21,233099.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-11-22,233099.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-11-23,233099.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-11-24,233099.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-11-25,233099.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-11-26,233099.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-11-27,233099.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-11-28,233099.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-11-29,233099.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-11-30,233099.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-12-01,233099.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-12-02,233099.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-12-03,233099.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-12-04,233099.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-12-05,233099.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-12-06,233099.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-12-07,233099.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-12-08,233099.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-12-09,233099.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-12-10,233099.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-12-11,233099.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-12-12,233099.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-12-13,233099.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-12-14,233099.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-12-15,233099.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-12-16,233099.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-12-17,233099.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-12-18,233099.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-12-19,233099.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-12-20,233099.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-12-21,233099.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-12-22,233516.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-12-23,233516.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-12-24,233516.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-12-25,233516.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-12-26,233516.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-12-27,233516.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-12-28,233516.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-12-29,233516.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-12-30,233516.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2023-12-31,233516.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
2024-01-01,234116.0,PNY RTX A-Series RTX A5000 24 GB Video Card (VCNRTXA5000-PB) - PCPartPicker
